iter	RMSE
0	15.19956604
1	14.43573926
2	13.70249305
3	13.10588874
4	12.54516447
5	12.07769927
6	11.54826913
7	11.11243856
8	10.71962066
9	10.23886703
10	9.865172486
11	9.433460882
12	9.095912841
13	8.74397098
14	8.48236268
15	8.214069917
16	7.987387282
17	7.736306369
18	7.513776283
19	7.283869048
20	7.067555853
21	6.865448026
22	6.671834158
23	6.515591905
24	6.369478493
25	6.235053144
26	6.057759631
27	5.916776991
28	5.785223197
29	5.672087197
30	5.572215191
31	5.460426677
32	5.359923758
33	5.273745807
34	5.164640367
35	5.098311766
36	5.013626716
37	4.917097083
38	4.884516264
39	4.819305082
40	4.746034703
41	4.698905052
42	4.652278697
43	4.581958796
44	4.531654341
45	4.504013982
46	4.464196887
47	4.394569678
48	4.34052669
49	4.31170945
50	4.276585951
51	4.23769555
52	4.20279629
53	4.161839812
54	4.111049077
55	4.074472858
56	4.043079392
57	3.994886004
58	3.981638356
59	3.932576938
60	3.900592766
61	3.874538557
62	3.846030106
63	3.823495023
64	3.782855226
65	3.763447799
66	3.753463658
67	3.731758725
68	3.70078198
69	3.660468006
70	3.629662279
71	3.620645135
72	3.579211553
73	3.573262003
74	3.558677659
75	3.542431973
76	3.487216419
77	3.476972523
78	3.455589906
79	3.442726416
80	3.416068852
81	3.409855678
82	3.385648075
83	3.338800353
84	3.328081839
85	3.278045017
86	3.267975185
87	3.234306379
88	3.228768123
89	3.224575835
90	3.18925199
91	3.163307435
92	3.154694395
93	3.150912021
94	3.116113418
95	3.112628716
96	3.106264989
97	3.064670172
98	3.036207675
99	3.030371897
