iter	Passed	Remaining
0	0	86
1	1	73
2	2	67
3	2	63
4	3	61
5	3	59
6	4	57
7	4	56
8	5	53
9	5	52
10	6	51
11	6	51
12	7	50
13	8	49
14	8	49
15	9	49
16	10	48
17	10	48
18	11	47
19	11	46
20	12	46
21	12	45
22	13	45
23	14	45
24	14	44
25	15	43
26	15	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	39
32	19	39
33	19	38
34	20	38
35	20	37
36	21	36
37	22	36
38	22	35
39	23	35
40	24	35
41	25	34
42	25	34
43	26	33
44	27	33
45	27	32
46	28	32
47	29	31
48	29	30
49	30	30
50	30	29
51	31	28
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	35	25
58	35	24
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	44	14
75	45	14
76	45	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	50	9
84	50	8
85	51	8
86	51	7
87	52	7
88	53	6
89	53	5
90	54	5
91	54	4
92	55	4
93	55	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
